"author","extension","year_month","total_inserts","total_deletes","num_commits","num_files"
"Guido van Rossum <guido@python.org>",".c","1990-10-01 00:00:00.000","143760","8748","23","42"
"Guido van Rossum <guido@python.org>",".py","1990-10-01 00:00:00.000","94608","4272","19","61"
"Guido van Rossum <guido@python.org>",".c","1990-11-01 00:00:00.000","37944","1992","13","12"
"Guido van Rossum <guido@python.org>",".py","1990-11-01 00:00:00.000","14904","5088","2","20"
"Guido van Rossum <guido@python.org>",".c","1990-12-01 00:00:00.000","36516","23172","8","43"
"Guido van Rossum <guido@python.org>",".py","1990-12-01 00:00:00.000","17388","456","9","26"
"Guido van Rossum <guido@python.org>",".c","1991-01-01 00:00:00.000","744","432","7","7"
"Guido van Rossum <guido@python.org>",".py","1991-01-01 00:00:00.000","4740","264","7","12"
"Guido van Rossum <guido@python.org>",".c","1991-02-01 00:00:00.000","15480","228","7","49"
"Guido van Rossum <guido@python.org>",".py","1991-02-01 00:00:00.000","576","384","2","4"
"Guido van Rossum <guido@python.org>",".c","1991-03-01 00:00:00.000","264","96","3","3"
"Guido van Rossum <guido@python.org>",".c","1991-04-01 00:00:00.000","12960","1920","25","18"
"Guido van Rossum <guido@python.org>",".py","1991-04-01 00:00:00.000","14508","1020","16","28"
"Guido van Rossum <guido@python.org>",".c","1991-05-01 00:00:00.000","14736","1656","16","12"
"Guido van Rossum <guido@python.org>",".py","1991-05-01 00:00:00.000","5328","432","3","10"
"Guido van Rossum <guido@python.org>",".c","1991-06-01 00:00:00.000","17832","3444","24","26"
"Guido van Rossum <guido@python.org>",".py","1991-06-01 00:00:00.000","11880","12","2","15"
"Guido van Rossum <guido@python.org>",".c","1991-07-01 00:00:00.000","10128","7380","16","13"
"Guido van Rossum <guido@python.org>",".py","1991-07-01 00:00:00.000","4896","288","4","10"
"Guido van Rossum <guido@python.org>",".c","1991-08-01 00:00:00.000","27384","288","6","4"
"Guido van Rossum <guido@python.org>",".py","1991-08-01 00:00:00.000","12912","1956","18","44"
"Guido van Rossum <guido@python.org>",".c","1991-09-01 00:00:00.000","6204","96","6","5"
"Guido van Rossum <guido@python.org>",".py","1991-09-01 00:00:00.000","7596","144","6","15"
"Guido van Rossum <guido@python.org>",".c","1991-10-01 00:00:00.000","14268","1164","15","18"
"Guido van Rossum <guido@python.org>",".py","1991-10-01 00:00:00.000","10692","0","2","9"
"Guido van Rossum <guido@python.org>",".c","1991-11-01 00:00:00.000","5940","1200","8","8"
"Guido van Rossum <guido@python.org>",".py","1991-11-01 00:00:00.000","7128","1140","15","19"
"Guido van Rossum <guido@python.org>",".c","1991-12-01 00:00:00.000","12804","4032","39","26"
"Guido van Rossum <guido@python.org>",".py","1991-12-01 00:00:00.000","22584","5136","34","70"
"Guido van Rossum <guido@python.org>",".c","1992-01-01 00:00:00.000","34416","12552","35","26"
"Guido van Rossum <guido@python.org>",".py","1992-01-01 00:00:00.000","65508","32124","32","110"
"Guido van Rossum <guido@python.org>",".c","1992-02-01 00:00:00.000","1656","384","11","9"
"Guido van Rossum <guido@python.org>",".py","1992-02-01 00:00:00.000","4656","1668","3","13"
"Guido van Rossum <guido@python.org>",".c","1992-03-01 00:00:00.000","16968","10752","39","30"
"Guido van Rossum <guido@python.org>",".py","1992-03-01 00:00:00.000","94872","5148","35","95"
"Guido van Rossum <guido@python.org>",".c","1992-04-01 00:00:00.000","17520","4608","18","58"
"Guido van Rossum <guido@python.org>",".py","1992-04-01 00:00:00.000","19092","2292","24","21"
"Guido van Rossum <guido@python.org>",".c","1992-05-01 00:00:00.000","1320","144","5","5"
"Guido van Rossum <guido@python.org>",".py","1992-05-01 00:00:00.000","8928","732","16","22"
"Guido van Rossum <guido@python.org>",".c","1992-06-01 00:00:00.000","16344","264","13","9"
"Guido van Rossum <guido@python.org>",".py","1992-06-01 00:00:00.000","3396","624","7","11"
"Guido van Rossum <guido@python.org>",".c","1992-07-01 00:00:00.000","9132","468","3","2"
"Guido van Rossum <guido@python.org>",".py","1992-07-01 00:00:00.000","1992","0","2","2"
"Guido van Rossum <guido@python.org>",".c","1992-08-01 00:00:00.000","14700","1164","16","13"
"Guido van Rossum <guido@python.org>",".py","1992-08-01 00:00:00.000","21108","1428","25","24"
"Guido van Rossum <guido@python.org>",".c","1992-09-01 00:00:00.000","7524","1848","14","17"
"Guido van Rossum <guido@python.org>",".py","1992-09-01 00:00:00.000","14016","4704","12","13"
