"owner","repo_name","java_commits"
"0cmg","interviews","2828"
"1031nice","College-CP2-TeamProject","375"
"1217079729","bilibili_auto_task","424"
"1582130940","Phonograph","1090"
"1Programm","Plugz","1008"
"1and1","ono-maven-shared","74"
"1chuang","handbook","1"
"1ezio","ietians-diary","115"
"1fish2","BBQTimer","316"
"2122-4ahif-nvs","01-microproject-AnnaHartl","110"
"2No2Name","miscanium","13"
"3pillarlabs","spring-data-simpledb","1861"
"4ndru1d","fabric-example-mod","5"
"5h3r10k","APCSA-2021","166"
"ACINQ","bitcoin-kmp","2"
"AICP","device_sony_yuga","1"
"AOKP","device_sony_yuga","2"
"AOKP","packages_providers_MediaProvider","133"
"ASRIMohammed","javaee.wtp","31630"
"ASU-FACT","backend-A","354"
"AYC-222","gitiles","550"
"AYCHGIT","aex","60222"
"Abhinavlamba","Hillffair2k19","225"
"AbhishekTandon80","sring-boot-docker","13"
"AbrarSyed","SecretRoomsMod-forge","2431"
"Activiti","activiti-cloud-application","664"
"Addevice","flutter_location","74"
"AdrianoMartins","android_packages_apps_Eleven","1869"
"AdvancedProgrammingSUT2022","project-group-06","1091"
"AgeOfLearning","flutter_audioplayers","51"
"Akarin-project","StarLink","12782"
"AlbertSnow","TensorFlowCamera","2986"
"AlejandroNu21","Sistema_Libreria","178"
"AlessandroBagnoli","pivotal-certified-pro-spring-dev-exam-02","2729"
"Alex-the-666","AlexsMobs","4995"
"Alex-the-666","Ice_and_Fire","15495"
"AlexProgrammerDE","PistonQueue","1011"
"AlexRogalskiy","gradle-kotlin-sample","8"
"AlexanderB92","flutter-plugins","571"
"AlexanderChristian","private_inteviews","2828"
"AlexandreCarlton","idea-settings","397"
"Alexandru-Dascalu","Damn-Vulnerable-Mobile-ICC","6"
"AlexeyZhabko","DemoWorks","248"
"Aliaksei-Kavalchuk","jpetstore-6","314"
"Almighty-Alpaca","JetBrains-Discord-Integration","356"
"AmishiBansal","nimbus2021","396"
"Anas-Elgarhy","JCmusIntegrationWithDiscord","167"
"Andersraae","AdvancedGorillaGame","148"
"AndorsTrailRelease","andors-trail","519"
"Androp0v","CerbuApp-Android","116"
"Andrzej97","tetrahedral-mesh-generation","297"
"AniTrend","android-emojify","48"
"AniTrend","support-arch","97"
"AntonioDiaz","hackerrank.com_java","747"
"Anyz01","IO_Utils","778"
"Apress","pivotal-certified-pro-spring-dev-exam-02","2729"
"AraguaneyBits","bitcoinrpc4java","413"
"ArchMCJP","Bukkit","5667"
"ArletaLewandowska","amu_automata_2011","2940"
"Arquisoft","citizensLoader_i2b","267"
"ArrowOS","android_packages_services_Telephony","658"
"ArthurItajahy","Farmacia","29"
"ArtistaVeKaras","serenitybdd-udemy","312"
"ArtyomBY","Main_Project_Android","50"
"Asriel99","blue","182"
"Athlas","table_calendar_matchpro","2"
"AtunBetun","Backgammon","229"
"Automattic","elasticsearch-statsd-plugin","150"
"Azure","azure-notificationhubs-android","707"
"BIOP","ijp-imagetoatlas","2735"
"BIT-SYS","cloud-ladder","510"
"BTP-Sem-5-Project","Project-Management-Assistant-and-Tracking-App","210"
"BWimmunizationtracker","backend","266"
"Backbase","stream-services","428"
"Baneeishaque","Android-Common-Utils19","400"
"BartlomiejBak","lawyer","960"
