"owner","repo_name","scala_commits"
"tlc-pack","relax","308"
"naresht1710","serverless","11"
"danslapman","morphling","522"
"SumitXLR15","PMD","6"
"flowcommerce","lib-play","1556"
"openwdl","wdl","166"
"guardian","support-frontend","13117"
"kvswamy","Spark","27764"
"rohankumardubey","tvm","308"
"graphsense","graphsense-ethereum-transformation","114"
"Bcoderx6","hacker-scripts","2"
"Hk-Z-GitHub","LeetCode","17"
"vojtechhabarta","typescript-generator","1"
"EdsonGermano","socrata-platform-socrata-sbt-plugins","169"
"bb4","bb4-common","496"
"reallovelei","redis-read","44"
"techyogillc","ApacheSpark","26776"
"microsoft","Mobius","184"
"scala","scala-collection-compat","1123"
"lichess-org","lila-openingexplorer","721"
"oliverheywood451","swagger-codegen-2.4.0","2609"
"vavr-io","vavr","443"
"phat45262donga","Platform-samples","13"
"guardian","status-app","299"
"gimmi","randomhacking","42"
"Rattnik","yahoo-cmak","1194"
"rohanmmit","sparkaws","20709"
"markwinter","Antox","1373"
"irundaia","sbt-sassify","277"
"Edgecortix-Inc","mera-tvm-public","308"
"fengchi66","flink","23692"
"flowcommerce","lib-event","452"
"pixiedust","pixiedust","10"
"Onesphore","simgrid-sosp","18"
"cjinghong","Listr","114"
"sbt","sbt-ghpages","40"
"hex-plex","AutoMLScreenExercise","3"
"kahraman81","ddddd","70290"
"Mateio","OpenCV","17"
"ghostdogpr","caliban","2719"
"guardian","content-api-models","177"
"areusch","tvm-fork-for-ci","308"
"flowcommerce","api-build","1114"
"Dwolla","fs2-aws","168"
"blakeembrey","code-problems","3"
"srilakshmichennu","mypipelinecode","90"
"oap-project","oap-mllib","4982"
"pgacipe","opencv","26"
"internetmusic","dex","36622"
"HadrienHachez","pmd-analysis","6"
"scapegoat-scala","scapegoat","4393"
"data-science-on-aws","data-science-on-aws","10778"
"boogie-org","boogie","457"
"bstofko","hello-world","11"
"narrativeandplay","hypedyn2","1483"
"target","data-validator","273"
"chironghua","kubeflow-piplines","12"
"imrehg","exercism","24"
"wenxcs","tvm.dx","308"
"miZiYun","kafka-connect-jdbc","73"
"sandbhormanasi","jrog","3"
"AniketPatil27","NewRepo","12"
"giuscri","fpinscala","972"
"LoliKingdom","GT-Chilled-Edition","4"
"ScalaConsultants","zio-akka-quickstart.g8","335"
"fogbeam","zeppelin_mirror","23"
"rohankumardubey","mahout","2485"
"shuangsong1990","ICS","3"
"gasmbledug","scalaz","15214"
"team-cyx","cyx-spark","26861"
"gabysbrain","tuner","1857"
"pantsbuild","pants","574"
"scala","scala3-cross.g8","7"
"fakeNetflix","twitter-repo-util","2215"
"Luucas51","test_thp_js","10"
"cbedanne","trivia","8"
"crossbeam-rs","crossbeam","4"
"apache","geode","473"
"sksamuel","elastic4s","19981"
"kovacstimea","mahout","2485"
"cetic","tsimulus-saas","123"
"project-thirdeye","thirdeye","62"
"sagpant","actor-framework","65"
"mongodb","snooty-parser","1"
"ngocdai94","meanStack","2"
"zzvara","flink-dynamic","7519"
"bingaox","sparkGDA_bak","26861"
"xxxtrillionarie","KubeFlow_MLOps_Pipelines","12"
"krzema12","kotlin","1"
"zio","zio-process","88"
"hugo-dc","highlighting-kate","1"
"com-lihaoyi","fastparse","3089"
"lloydmeta","enumeratum","957"
"tkambler","c9sdk","3"
"asottile","babi-grammars","1"
