	label	cluster	numCommits	binFiles	imgFilePct	textFiles	textLines	cLinePct	c-plus-plusLinePct	dataLinePct	goLinePct	interfaceLinePct	javascriptLinePct	jsonLinePct	latexLinePct	lockLinePct	localizationLinePct	markdownLinePct	pydataLinePct	pythonLinePct	rpm-packageLinePct	rustLinePct	shellLinePct	solidityLinePct	swiftLinePct	txtLinePct	yarnLinePct
499d239bf9842f414833b493ebc4ca9e639c26a8		0	40262	0	0.0	3	27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0c13bd51d912e6143f4df25eb790ca03bae855a7		0	40262	0	0.0	1	57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
a87d27123d8e77465ffc4895a74eff611b0f5bbd		0	40262	0	0.0	2	45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	91.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7f92265854c2139eb458123fd94ee6b20041d749		0	40262	0	0.0	1	92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0d5cfbd69923521f650f7be12432873b6aafa6fe		0	40262	0	0.0	1	99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
a16691bd62d022054b4289fa5d51ef71f9d5abdb		0	40262	0	0.0	11	82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d8e3b6c545481a7d30993ef9574b0108e3257992		0	40262	0	0.0	2	70	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
da8790a7a42833daf3968d497cbc46ab27c03383		0	40262	0	0.0	2	56	0.0	0.0	0.0	0.0	0.0	8.92	0.0	0	0.0	0.0	0.0	0.0	91.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4520397c938dad84449bf0735022917c7006dd07		0	40262	0	0.0	1	33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d27763bed39594efa1a4d8f8df00a48ade4fbc26		0	40262	0	0.0	3	61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	95.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0
58e3b94460bb0dab610e968431d2f7e51a4d6863		0	40262	0	0.0	3	98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
a9147b00ee3144306f8b90a442be3a422bc60f2c		0	40262	0	0.0	4	87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	98.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8b6555f9c1061712ef92e0bc1bb9806fdd229d33		0	40262	0	0.0	3	30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
82dbcdae87f7a8aaaf1a9bae663a5fac8c856a40		0	40262	0	0.0	4	36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
378f566cbf353e896529c678bb6758296eeaa13b		0	40262	0	0.0	1	70	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
b8f626ace6c7f9d0c2f4c52bafe977c1c47bc395		0	40262	0	0.0	4	107	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	99.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0
23d3d0fdb48cf271676f74c50d5d52819a2e9e01		0	40262	0	0.0	1	30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9b761cb418635c48145c7ac909c2faeceb720221		0	40262	0	0.0	5	73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
27deb9cd057007faf9ca5519bb2cca448dc7de9c		0	40262	0	0.0	4	32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3891012843732438d3acaa7dd9c01ec38725d26f		0	40262	0	0.0	5	66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6137cdd5bf40da73b1fca4953df57229866c73ea		1	14693	0	0.0	1	3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bdf4717d2d219c59af8c61d90d8b3c2a6b6c9900		1	14693	0	0.0	1	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7e1f9a2d23838cef5e9730896a669e9c61c8921f		1	14693	0	0.0	1	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
b759b4073c266814d12d0c2b996f503ff22844fc		1	14693	2	0.0	7	6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	83.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9359012c1df5de2152cfda1c18ff719ee858204d		1	14693	0	0.0	1	9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
99a873503692d052df8910b059b1002b9bc037bb		1	14693	0	0.0	2	6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5c2ed9e5d34302db527ad5fe7bf18566002d56d5		1	14693	0	0.0	1	4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ff681f8eea412b3f0420fcd3f644d672f87fddcd		1	14693	0	0.0	5	8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	50.0	0.0	12.5	0.0	0.0	0.0	0.0	0.0	12.5	0.0
e473ae2a20343e7c6d66d51642140ffa95fdf60f		1	14693	0	0.0	4	7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	57.14	0.0	14.28	0.0	0.0	0.0	0.0	0.0	14.28	0.0
b2d3d6faed244f868f8a57c5c9d7d10584fdb07a		1	14693	0	0.0	3	15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	93.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.66	0.0
c5c4bd085c9eb4c0598c311f13020dfcc4d2b694		1	14693	0	0.0	3	4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
65631525f637a457d19f977248d63b2430dd0262		1	14693	0	0.0	1	3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3ae160a8943bce3272cb53e574d35fd4e70163de		1	14693	2	0.0	7	24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	20.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9ed1b0d2ddfd76c9aa7cf493e510aff7f0811366		1	14693	0	0.0	1	7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
36e1cafb38d30d704d8f087083429a9671e0e217		1	14693	0	0.0	2	17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	94.11	0.0	0.0	0.0	5.88	0.0	0.0	0.0	0.0	0.0
91afc777ddbf929c51beea830e86eed418793f59		1	14693	0	0.0	1	10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8feb843d34300c672ae852a02bb6edec04741b77		1	14693	0	0.0	3	4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	50.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8578d49fc927da849919858a65997cb656325e53		1	14693	3	75.0	1	8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
df2af0f3428c4553df05fbae5bdbf8d0fc93d9ee		1	14693	0	0.0	1	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2ed925cedd3630c7a5c5181ab939cfa0378925ba		1	14693	0	0.0	1	14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
c06ed379e352ca035a0e63feaba246cb59c598be		2	19173	0	0.0	1	22	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
c8ab797e02246c25b237cb3181e870a90a54929f		2	19173	0	0.0	3	12	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
72d477ceee4ee2713cf5a0cc4f4451319230a92a		2	19173	0	0.0	1	7	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
b72ff97c63c36d8315c275fa7bc102b4ce0bbf09		2	19173	0	0.0	2	10	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
82251d43b7c99c63de87c1cec384907ebc50d75b		2	19173	0	0.0	4	7	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
14eaee20ca06e2e203173a813250798f28d9803d		2	19173	0	0.0	1	23	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
a9e0961a439329c98f6d4dc6628abefbd5fdd1e8		2	19173	0	0.0	1	23	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
28d0afe3966baa9ab73e3265f742752b40aa04b3		2	19173	0	0.0	2	8	0.0	0.0	0.0	0.0	0.0	87.5	12.5	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
a6fc7fd5c5728163c2b8b9ed5f62907fe3e521f0		2	19173	0	0.0	4	7	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
79a18f220f8d20e2a71714f5acfe9361c901ace1		2	19173	0	0.0	1	21	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
11bb2e15d238cf2c16eaeee70926bf0fb81ef465		2	19173	0	0.0	3	12	0.0	0.0	0.0	0.0	0.0	83.33	16.66	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
c99b63c9e54e3046bec1e388845ee0f9121b22b4		2	19173	0	0.0	1	12	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8fa8cd79c5873305c4c16443285793c12177ed0d		2	19173	0	0.0	1	25	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9991c5452f5d5ca1b69c5f0d6a29f7bf9d85c2ce		2	19173	0	0.0	2	9	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3b63026f9af38e4039531b1f3067e7dcadfb794f		2	19173	0	0.0	1	6	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
b09e3acb12613ec6a2632d1dd9b41b5c85730828		2	19173	0	0.0	2	16	0.0	0.0	0.0	0.0	0.0	81.25	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9008ad2018eb4699aed8120b8930a5861ebe1dff		2	19173	0	0.0	6	23	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
b5afccbb49028098096fea38a7985768e0e23317		2	19173	0	0.0	2	12	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2b7782ba03c59ee18f3f74479710272bf0564852		2	19173	0	0.0	1	6	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ed89d095bf395eb9f95c1962c480132ff2aaaefc		2	19173	0	0.0	1	17	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
96ebe799a3ce050e429b0c6c96873200741ba4f7		3	21421	0	0.0	2	3	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3edd41b97ee9f7be083fe2cfc979d358f1857c8b		3	21421	0	0.0	1	1	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2d8eb8b3f512add589d190522f2739b6cd812c63		3	21421	1	50.0	1	1	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
701a442f59ffde13c20fdfc9063d9235301946ec		3	21421	0	0.0	1	2	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7679d4026e875945e65b866c3ed039c4b514b6a6		3	21421	1	0.0	4	4	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8058e64ba269eea955c7244601fd3589cf0e2590		3	21421	0	0.0	1	1	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
a322c443ede26aad2fbb8678779eccbe9ef6298d		3	21421	0	0.0	2	2	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ab71ba187ffa7eb5f451ce414165d8ec86ae2a87		3	21421	0	0.0	1	1	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
b7e3c9b3170b3e0f1644161e6dbe1df3e9ce7779		3	21421	0	0.0	1	1	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
484eda2a34faba215c6f902c182739068b5da2aa		3	21421	0	0.0	1	2	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
57756a159a647dbcf5097cd152f975b290b614aa		3	21421	0	0.0	1	1	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4874f54d4ddedcd38ca82db795cb8703cd7e333e		3	21421	0	0.0	1	1	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
63222cf5253e706577220f2d092effbd4e471764		3	21421	0	0.0	1	5	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
86e79daf17ddd979988b403bf93a0223282f352a		3	21421	0	0.0	1	1	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
50251955cdeb5fbb8ff279bbcbea68d2bf606c7f		3	21421	0	0.0	1	1	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
a6f274be5d2bbb212bdc01f6f0e117a82895919d		3	21421	0	0.0	1	5	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3fe133e55f9fdc0343fd7ad6ae108ea79c71986d		3	21421	0	0.0	5	3	0.0	0.0	0.0	0.0	0.0	33.33	66.66	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
c79bbbf4cc0ce8c99273b0a40323a258f8b21b03		3	21421	2	0.0	4	4	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3ecb44e38909e843a82ff540d557e5bc9255159c		3	21421	0	0.0	1	2	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f64b72fd4d0a5c442fc3e492acfa85b610229feb		3	21421	0	0.0	1	1	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
e160346cf5dc6bcd9a94514e39372d32bfe21ff9		4	5738	0	0.0	1	8	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
947abe3dfa1108199ac9a0d8106ca459f3149d94		4	5738	0	0.0	1	5	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6de2ae5369e161cd8a97ccefef5381f886fa8391		4	5738	0	0.0	4	8	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
de8281c61538153df2327dea1de1b225a6e471ff		4	5738	0	0.0	1	6	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
c20bba70ea6e4061af12e4a63277c8d8fe6e5f47		4	5738	0	0.0	25	6	0.0	0.0	0.0	0.0	0.0	16.66	83.33	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f9028b1a2e12eb823e52d457c9165bcc0d2057b8		4	5738	0	0.0	2	23	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8107068eef203ffd533c18eb7754cfbe3898ee02		4	5738	0	0.0	2	27	0.0	0.0	0.0	0.0	0.0	3.7	96.29	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
a395cee6a7dab6ab7bea2de5dcabd5fe3b044183		4	5738	0	0.0	1	63	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
